no,sensor,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,2-6,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,order,sex
1,L,3,2,4,1,2,2,1,1,2,3,2,3,1,4,3,3,4,4,4,4,4,2,3,3,a,f
2,L,3,2,2,2,3,3,2,2,2,2,1,3,2,3,3,3,3,3,3,2,3,4,4,2,a,m
3,L,4,3,3,2,3,3,2,2,2,2,2,4,3,3,3,3,4,4,3,3,4,4,4,3,a,f
4,L,4,2,2,2,3,4,3,2,2,4,4,4,3,3,3,4,4,3,4,4,4,4,4,2,a,m
5,L,3,3,4,3,3,3,3,2,2,1,1,3,2,2,3,3,3,3,3,3,3,4,4,2,b,f
6,L,3,2,4,2,2,4,3,2,2,3,4,3,2,4,3,4,4,4,3,4,3,2,3,3,b,m
7,L,1,1,2,1,2,1,1,1,1,1,1,3,1,4,3,3,4,2,4,2,3,4,4,2,b,m
8,L,3,2,4,3,2,4,3,3,2,4,3,3,3,4,4,4,4,4,3,4,4,3,4,2,b,m
9,L,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,2,2,4,b,m
11,L,4,2,3,4,3,4,2,3,3,2,2,2,3,4,2,4,4,4,4,4,4,2,2,4,a,f
12,L,4,2,4,2,3,2,3,2,2,2,2,4,2,3,3,3,4,3,3,4,4,4,4,2,a,m
13,L,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,2,3,4,5,1,a,m
14,L,5,1,1,1,4,4,3,4,2,3,2,3,4,5,3,3,4,4,3,3,4,4,4,2,a,m
15,L,4,4,3,3,4,4,4,3,3,4,4,4,5,5,4,4,4,5,5,5,5,4,4,2,b,f
16,L,5,5,4,5,5,3,3,4,4,4,3,5,5,4,3,4,5,5,3,5,4,5,5,1,a,m
17,L,4,3,2,2,3,3,2,2,2,2,2,4,2,2,4,3,2,2,3,2,3,4,4,2,b,m
18,L,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,a,m
